,region,state,grid_mode,agent,type,plant_name,plant_id,ons_name,ons_id,operation,primary,auction_start_time,start_time,end_time,capacity
2424,NE,BA,type C,SERRA DA BABILONIA D,on_wind,SERRA DA BABILÔNIA D,EOL.CV.BA.040610-4,UG 20P4 MW SDB_SERRA_BAB D         R23 BA,BAEB0D0R23,R23,Wind,2021-07-06,2021-07-06,,20.4
2425,NE,BA,type C,SERRA DA BABILONIA D,on_wind,SERRA DA BABILÔNIA D,EOL.CV.BA.040610-4,UG 10P2 MW SDB_SERRA_BAB D         R24 BA,BAEB0D0R24,R24,Wind,2021-05-13,2021-07-06,,10.2
2426,NE,BA,type C,SERRA DA BABILONIA E,on_wind,SERRA DA BABILÔNIA E,EOL.CV.BA.040611-2,UG 15P9 MW SDB_SERRA_BAB E         R25 BA,BAEB0E0R25,R25,Wind,2021-06-01,2021-07-24,,15.9
2427,NE,BA,type C,SERRA DA BABILONIA E,on_wind,SERRA DA BABILÔNIA E,EOL.CV.BA.040611-2,UG 10P6 MW SDB_SERRA_BAB E         R26 BA,BAEB0E0R26,R26,Wind,2021-07-02,2021-07-24,,10.6
2428,NE,BA,type C,SERRA DA BABILONIA F,on_wind,SERRA DA BABILÔNIA F,EOL.CV.BA.040612-0,UG 10P6 MW SDB_SERRA_BAB F         R27 BA,BAEB0F0R27,R27,Wind,2021-07-21,2021-08-03,,10.6
2429,NE,BA,type C,SERRA DA BABILONIA F,on_wind,SERRA DA BABILÔNIA F,EOL.CV.BA.040612-0,UG 10P6 MW SDB_SERRA_BAB F         R28 BA,BAEB0F0R28,R28,Wind,2021-07-14,2021-08-03,,10.6
2430,NE,BA,type C,S DA BABILÔNIA II,on_wind,SERRA DA BABILÔNIA II,EOL.CV.BA.032462-0,UG 14P1 MW SDB_SER BABIL 2          R4 BA,BAEB020UGR4,R4,Wind,2018-10-27,2018-12-12,,14.1
2431,NE,BA,type C,S DA BABILÔNIA II,on_wind,SERRA DA BABILÔNIA II,EOL.CV.BA.032462-0,UG 14P1 MW SDB_SER BABIL 2          R8 BA,BAEB020UGR8,R8,Wind,2018-10-27,2018-12-12,,14.1
2432,NE,BA,type C,S DA BABILÔNIA IX,on_wind,SERRA DA BABILÔNIA IX,EOL.CV.BA.032465-5,UG  9P4 MW SDB_SER BABIL 9          R1 BA,BAEB9-0UGR1,R1,Wind,2018-10-30,2018-12-12,,9.4
2433,NE,BA,type C,S DA BABILÔNIA IX,on_wind,SERRA DA BABILÔNIA IX,EOL.CV.BA.032465-5,UG 18P8 MW SDB_SER BABIL 9          R7 BA,BAEB9-0UGR7,R7,Wind,2018-10-30,2018-12-12,,18.8
