,state,time,value,sector
56,DF,2020,2383480.0,Residential
59,DF,2020,136170.0,Rural
215,DF,2020,6169520.0,Total
66,DF,2021,1938580.0,Commercial
65,DF,2021,635990.0,Industrial
71,DF,2021,4480.0,Own Use
69,DF,2021,404340.0,Public Lighting
68,DF,2021,475140.0,Public Sector
70,DF,2021,333070.0,Public Service
64,DF,2021,2458070.0,Residential
67,DF,2021,157010.0,Rural
242,DF,2021,6406670.0,Total
74,DF,2022,1980660.0,Commercial
73,DF,2022,618930.0,Industrial
79,DF,2022,6060.0,Own Use
77,DF,2022,396830.0,Public Lighting
76,DF,2022,525950.0,Public Sector
78,DF,2022,361860.0,Public Service
72,DF,2022,2448360.0,Residential
75,DF,2022,149450.0,Rural
269,DF,2022,6488100.0,Total
2,ES,2013,1707070.0,Commercial
1,ES,2013,4995220.0,Industrial
7,ES,2013,10900.0,Own Use
5,ES,2013,254430.0,Public Lighting
4,ES,2013,270790.0,Public Sector
6,ES,2013,188340.0,Public Service
0,ES,2013,2212910.0,Residential
3,ES,2013,852750.0,Rural
18,ES,2013,10492410.0,Total
10,ES,2014,1804550.0,Commercial
9,ES,2014,5118090.0,Industrial
15,ES,2014,9980.0,Own Use
13,ES,2014,256470.00000000003,Public Lighting
12,ES,2014,279390.0,Public Sector
14,ES,2014,205450.0,Public Service
8,ES,2014,2361910.0,Residential
11,ES,2014,889330.0,Rural
45,ES,2014,10925160.0,Total
18,ES,2015,1847450.0,Commercial
17,ES,2015,4900720.0,Industrial
23,ES,2015,9770.0,Own Use
21,ES,2015,336860.0,Public Lighting
20,ES,2015,295910.0,Public Sector
22,ES,2015,198770.0,Public Service
16,ES,2015,2391280.0,Residential
19,ES,2015,1034190.0,Rural
72,ES,2015,11014930.0,Total
26,ES,2016,1787600.0,Commercial
25,ES,2016,3830180.0,Industrial
31,ES,2016,9520.0,Own Use
29,ES,2016,377070.0,Public Lighting
28,ES,2016,284830.0,Public Sector
30,ES,2016,196900.0,Public Service
24,ES,2016,2385990.0,Residential
27,ES,2016,964330.0,Rural
99,ES,2016,9836410.0,Total
34,ES,2017,1751500.0,Commercial
33,ES,2017,3891370.0,Industrial
39,ES,2017,9040.0,Own Use
37,ES,2017,400290.0,Public Lighting
36,ES,2017,269430.0,Public Sector
38,ES,2017,195510.0,Public Service
32,ES,2017,2343660.0,Residential
35,ES,2017,924290.0,Rural
126,ES,2017,9785080.0,Total
42,ES,2018,1763120.0,Commercial
41,ES,2018,4143899.9999999995,Industrial
47,ES,2018,8850.0,Own Use
45,ES,2018,434000.0,Public Lighting
44,ES,2018,287930.0,Public Sector
46,ES,2018,195700.0,Public Service
40,ES,2018,2432830.0,Residential
43,ES,2018,933620.0,Rural
153,ES,2018,10199950.0,Total
50,ES,2019,1773790.0,Commercial
49,ES,2019,4007130.0,Industrial
55,ES,2019,9160.0,Own Use
53,ES,2019,423970.0,Public Lighting
52,ES,2019,302610.0,Public Sector
54,ES,2019,204870.0,Public Service
48,ES,2019,2624060.0,Residential
51,ES,2019,1117230.0,Rural
180,ES,2019,10462800.0,Total
58,ES,2020,1599520.0,Commercial
57,ES,2020,3773780.0,Industrial
63,ES,2020,8320.0,Own Use
61,ES,2020,416880.0,Public Lighting
60,ES,2020,226630.0,Public Sector
62,ES,2020,212450.0,Public Service
56,ES,2020,2649120.0,Residential
59,ES,2020,1026440.0,Rural
207,ES,2020,9913150.0,Total
66,ES,2021,1720530.0,Commercial
65,ES,2021,4125180.0000000005,Industrial
71,ES,2021,7270.0,Own Use
69,ES,2021,18710.0,Public Lighting
68,ES,2021,243880.0,Public Sector
70,ES,2021,216930.0,Public Service
64,ES,2021,2722780.0,Residential
67,ES,2021,1139440.0,Rural
234,ES,2021,10194710.0,Total
74,ES,2022,1838580.0,Commercial
73,ES,2022,4044780.0,Industrial
79,ES,2022,8400.0,Own Use
77,ES,2022,368080.0,Public Lighting
76,ES,2022,284450.0,Public Sector
78,ES,2022,211030.0,Public Service
72,ES,2022,2867900.0,Residential
75,ES,2022,1140720.0,Rural
261,ES,2022,10763940.0,Total
2,GO,2013,2207510.0,Commercial
1,GO,2013,4894340.0,Industrial
7,GO,2013,29570.0,Own Use
5,GO,2013,556960.0,Public Lighting
4,GO,2013,401930.0,Public Sector
6,GO,2013,365940.0,Public Service
0,GO,2013,3957570.0,Residential
3,GO,2013,1200790.0,Rural
25,GO,2013,13614610.0,Total
10,GO,2014,2323450.0,Commercial
9,GO,2014,5007350.0,Industrial
15,GO,2014,29420.0,Own Use
13,GO,2014,564310.0,Public Lighting
12,GO,2014,432640.0,Public Sector
14,GO,2014,380320.0,Public Service
8,GO,2014,4238230.0,Residential
11,GO,2014,1262150.0,Rural
52,GO,2014,14237870.0,Total
18,GO,2015,2362100.0,Commercial
17,GO,2015,4665790.0,Industrial
23,GO,2015,28840.0,Own Use
21,GO,2015,1294030.0,Public Lighting
20,GO,2015,437390.0,Public Sector
22,GO,2015,378600.0,Public Service
16,GO,2015,4266970.0,Residential
19,GO,2015,1323690.0,Rural
79,GO,2015,14757410.0,Total
26,GO,2016,2290470.0,Commercial
25,GO,2016,5057170.0,Industrial
31,GO,2016,24360.0,Own Use
29,GO,2016,674950.0,Public Lighting
28,GO,2016,438460.0,Public Sector
30,GO,2016,392560.0,Public Service
24,GO,2016,4383180.0,Residential
27,GO,2016,1528370.0,Rural
106,GO,2016,14789510.0,Total
34,GO,2017,2335930.0,Commercial
33,GO,2017,5068160.0,Industrial
39,GO,2017,23290.0,Own Use
37,GO,2017,687980.0,Public Lighting
36,GO,2017,450740.0,Public Sector
