hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
5470,0.007,0.498,0.0121,0.1178,0.4613,0.5612,0,0.2038,0.0373,0.1107,0.1085,0.0513,0.0237,0.0657,0.8278,0.7873,0.461,0.057,0.241,0.8424,0.006,0.0074,0.1111,0.0773,0.3514,0.0296,0.1134
5471,0.0149,0.4265,0.0174,0.1008,0.4213,0.4406,0,0.1388,0.0361,0.0666,0.1098,0.0845,0.0328,0.0605,0.7143,0.7318,0.3741,0.0867,0.2301,0.718,0.0168,0.0005,0.1579,0.0833,0.3437,0.0321,0.0489
5472,0.0286,0.416,0.0234,0.0946,0.4425,0.4579,0,0.0926,0.0509,0.0545,0.1174,0.1213,0.0444,0.0713,0.6778,0.721,0.3897,0.1031,0.2122,0.7309,0.0285,0.0017,0.1967,0.0821,0.2989,0.0402,0.0531
5473,0.0378,0.3387,0.0285,0.0907,0.4545,0.4599,0,0.0616,0.0617,0.0551,0.1305,0.1501,0.0503,0.0799,0.6565,0.7022,0.4229,0.12,0.1872,0.7173,0.0287,0.0029,0.2201,0.0984,0.2759,0.0525,0.0623
5474,0.0389,0.3421,0.0325,0.0907,0.4701,0.456,0,0.04,0.0734,0.0585,0.1388,0.1768,0.0543,0.0834,0.6491,0.7037,0.4744,0.155,0.1635,0.7126,0.0346,0.0028,0.2376,0.1299,0.2827,0.0635,0.0747
5475,0.0495,0.2732,0.0359,0.0618,0.4753,0.4594,0,0.0295,0.0875,0.0663,0.1436,0.197,0.058,0.085,0.629,0.6909,0.5313,0.1858,0.1462,0.7108,0.0379,0.003,0.2407,0.1468,0.2861,0.0789,0.0869
5476,0.0756,0.2827,0.043,0.0532,0.4708,0.4832,0,0.026,0.1011,0.0731,0.1356,0.2134,0.0613,0.0805,0.5887,0.6517,0.5728,0.2072,0.1316,0.6992,0.0429,0.0031,0.2548,0.1541,0.3052,0.0904,0.1075
5477,0.0828,0.3033,0.0477,0.057,0.4416,0.495,0,0.0217,0.1167,0.0901,0.1207,0.2241,0.062,0.0696,0.5604,0.6136,0.6042,0.218,0.1168,0.6721,0.0494,0.0026,0.293,0.157,0.2811,0.1023,0.1389
5478,0.0892,0.3356,0.049,0.062,0.413,0.4997,0,0.0206,0.132,0.1126,0.1083,0.221,0.0606,0.0594,0.5463,0.5695,0.6273,0.2055,0.111,0.6181,0.0544,0.0019,0.3152,0.1485,0.2769,0.1094,0.1726
5479,0.093,0.3473,0.0512,0.0532,0.3813,0.5177,0,0.0199,0.1492,0.1398,0.0987,0.2174,0.0627,0.0535,0.5186,0.547,0.6387,0.1972,0.1037,0.5566,0.0569,0.0025,0.3516,0.1553,0.2535,0.1145,0.2054
5480,0.0965,0.3272,0.0513,0.0493,0.3516,0.5363,0,0.0173,0.1684,0.1707,0.0991,0.2209,0.0685,0.0504,0.5052,0.5774,0.6382,0.1908,0.1008,0.5077,0.0577,0.0037,0.3786,0.1662,0.2244,0.1183,0.2328
5481,0.1054,0.3054,0.0515,0.0413,0.3162,0.5413,0,0.0157,0.1904,0.1958,0.1004,0.2242,0.0792,0.0494,0.487,0.5707,0.6134,0.185,0.1001,0.4987,0.0558,0.0039,0.4088,0.1796,0.1915,0.1214,0.2612
5482,0.1133,0.2922,0.0493,0.0317,0.2847,0.5402,0,0.0156,0.2041,0.22,0.0991,0.2238,0.0871,0.0496,0.4803,0.5564,0.5852,0.1819,0.0933,0.5467,0.0474,0.0039,0.4505,0.1835,0.1596,0.1295,0.2888
5483,0.098,0.2285,0.0455,0.0274,0.2861,0.7174,0,0.0275,0.1419,0.2371,0.0953,0.2076,0.098,0.0435,0.7275,0.6924,0.553,0.168,0.0908,0.751,0.054,0.0058,0.5183,0.2205,0.1258,0.143,0.2795
5484,0.0902,0.2545,0.0411,0.0346,0.4344,0.8871,0,0.0159,0.216,0.33,0.1428,0.2515,0.1359,0.0419,0.8785,0.7939,0.8267,0.2199,0.0815,0.9283,0.0548,0.0066,0.5831,0.2745,0.2825,0.2041,0.4103
