REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIN,IMPNGS,EMIC02,1,2021,56.1
SIN,IMPNGS,EMIC02,1,2022,56.1
SIN,IMPNGS,EMIC02,1,2023,56.1
SIN,IMPNGS,EMIC02,1,2024,56.1
SIN,IMPNGS,EMIC02,1,2025,56.1
SIN,IMPNGS,EMIC02,1,2026,56.1
SIN,IMPNGS,EMIC02,1,2027,56.1
SIN,IMPNGS,EMIC02,1,2028,56.1
SIN,IMPNGS,EMIC02,1,2029,56.1
SIN,IMPNGS,EMIC02,1,2030,56.1
SIN,IMPNGS,EMIC02,1,2031,56.1
SIN,IMPNGS,EMIC02,1,2032,56.1
SIN,IMPNGS,EMIC02,1,2033,56.1
SIN,IMPNGS,EMIC02,1,2034,56.1
SIN,IMPNGS,EMIC02,1,2035,56.1
SIN,IMPNGS,EMIC02,1,2036,56.1
SIN,IMPNGS,EMIC02,1,2037,56.1
SIN,IMPNGS,EMIC02,1,2038,56.1
SIN,IMPNGS,EMIC02,1,2039,56.1
SIN,IMPNGS,EMIC02,1,2040,56.1
SIN,IMPNGS,EMIC02,1,2041,56.1
SIN,IMPNGS,EMIC02,1,2042,56.1
SIN,IMPNGS,EMIC02,1,2043,56.1
SIN,IMPNGS,EMIC02,1,2044,56.1
SIN,IMPNGS,EMIC02,1,2045,56.1
SIN,IMPNGS,EMIC02,1,2046,56.1
SIN,IMPNGS,EMIC02,1,2047,56.1
SIN,IMPNGS,EMIC02,1,2048,56.1
SIN,IMPNGS,EMIC02,1,2049,56.1
SIN,IMPNGS,EMIC02,1,2050,56.1
SIN,MINNGS,EMIC02,1,2015,56.1
SIN,MINNGS,EMIC02,1,2016,56.1
SIN,MINNGS,EMIC02,1,2017,56.1
SIN,MINNGS,EMIC02,1,2018,56.1
SIN,MINNGS,EMIC02,1,2019,56.1
SIN,MINNGS,EMIC02,1,2020,56.1
SIN,MINNGS,EMIC02,1,2021,56.1
SIN,MINNGS,EMIC02,1,2022,56.1
SIN,MINNGS,EMIC02,1,2023,56.1
SIN,MINNGS,EMIC02,1,2024,56.1
SIN,MINNGS,EMIC02,1,2025,56.1
SIN,MINNGS,EMIC02,1,2026,56.1
SIN,MINNGS,EMIC02,1,2027,56.1
SIN,MINNGS,EMIC02,1,2028,56.1
SIN,MINNGS,EMIC02,1,2029,56.1
SIN,MINNGS,EMIC02,1,2030,56.1
SIN,MINNGS,EMIC02,1,2031,56.1
SIN,MINNGS,EMIC02,1,2032,56.1
SIN,MINNGS,EMIC02,1,2033,56.1
SIN,MINNGS,EMIC02,1,2034,56.1
SIN,MINNGS,EMIC02,1,2035,56.1
SIN,MINNGS,EMIC02,1,2036,56.1
SIN,MINNGS,EMIC02,1,2037,56.1
SIN,MINNGS,EMIC02,1,2038,56.1
SIN,MINNGS,EMIC02,1,2039,56.1
SIN,MINNGS,EMIC02,1,2040,56.1
SIN,MINNGS,EMIC02,1,2041,56.1
SIN,MINNGS,EMIC02,1,2042,56.1
SIN,MINNGS,EMIC02,1,2043,56.1
SIN,MINNGS,EMIC02,1,2044,56.1
SIN,MINNGS,EMIC02,1,2045,56.1
SIN,MINNGS,EMIC02,1,2046,56.1
SIN,MINNGS,EMIC02,1,2047,56.1
SIN,MINNGS,EMIC02,1,2048,56.1
SIN,MINNGS,EMIC02,1,2049,56.1
SIN,MINNGS,EMIC02,1,2050,56.1
